time,temperature
2.2,85.89
4.09,86.0
5.93,86.0
7.77,86.0
9.61,86.0
11.45,86.0
13.3,86.0
15.14,86.11
16.97,86.11
18.81,86.11
20.65,86.11
22.57,86.11
24.41,86.11
26.25,86.22
28.09,86.22
29.93,86.22
31.78,86.22
33.69,86.22
35.53,86.34
37.45,86.34
39.29,86.34
41.13,86.34
43.01,86.45
44.89,86.34
46.73,86.34
48.58,86.45
50.42,86.45
52.25,86.45
54.09,86.45
55.93,86.45
57.77,86.56
59.61,86.56
61.45,86.56
63.29,86.56
65.13,86.56
66.97,86.56
68.81,86.68
70.65,86.68
72.49,86.68
74.33,86.68
76.17,86.68
78.01,86.68
79.85,86.68
81.7,86.79
83.61,86.79
85.45,86.79
87.29,86.79
89.13,86.79
90.97,86.9
92.81,86.9
94.65,86.9
96.53,86.9
98.41,86.9
100.25,86.9
102.09,86.9
103.93,87.01
105.77,87.01
107.61,87.01
109.45,87.01
111.29,87.12
113.13,87.12
114.97,87.12
116.81,87.12
118.65,87.12
120.49,87.24
122.33,87.12
124.17,87.12
