time,temperature
2.73,91.29
4.62,91.4
6.46,91.4
8.3,91.4
10.14,91.4
11.98,91.4
13.82,91.4
15.66,91.4
17.5,91.51
19.34,91.51
21.18,91.51
23.02,91.51
24.86,91.51
26.7,91.51
28.54,91.51
30.38,91.51
32.22,91.51
34.06,91.51
35.9,91.62
37.74,91.62
39.58,91.62
41.42,91.62
43.26,91.62
45.1,91.62
46.94,91.62
48.78,91.74
50.62,91.74
52.46,91.74
54.3,91.74
56.14,91.74
57.98,91.74
59.9,91.74
61.74,91.74
63.58,91.74
65.42,91.74
67.26,91.85
69.1,91.85
70.94,91.85
72.78,91.85
74.62,91.85
76.46,91.85
78.3,91.85
80.14,91.85
81.98,91.85
83.82,91.85
85.66,91.85
87.5,91.96
89.34,91.96
91.18,91.96
93.02,91.96
94.86,91.96
96.7,91.96
98.54,91.96
100.38,91.96
102.23,91.96
104.14,91.96
105.98,92.08
107.82,92.08
109.66,92.08
111.5,92.08
113.34,92.08
115.18,92.08
117.02,92.08
118.86,92.08
120.7,92.08
122.54,92.08
124.38,92.19
126.22,92.19
128.06,92.19
129.9,92.19
131.74,92.19
133.58,92.19
135.42,92.19
137.26,92.19
139.1,92.19
140.98,92.19
142.86,92.19
144.7,92.3
146.54,92.3
148.38,92.3
150.22,92.3
152.06,92.3
153.9,92.3
155.74,92.3
157.58,92.3
159.42,92.3
161.26,92.3
163.18,92.41
165.02,92.41
166.86,92.41
168.7,92.41
170.54,92.41
172.38,92.41
174.22,92.41
