time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
1.2,"(-0.07, -9.34, 2.93)","(8.0, 26.0625, -17.75)","(0.001090830782496456, -0.004363323129985824, 0.001090830782496456)","(0.05, -0.05, -0.01)","(-0.11, -9.34, 2.97)","(359.9375, -0.625, 72.3125)","(0.80718994140625, -0.59027099609375, 0.007080078125, 0.0003662109375)"
2.2,"(-0.08, -9.36, 2.94)","(6.875, 26.0625, -18.5)","(0.001090830782496456, -0.002181661564992912, -0.001090830782496456)","(0.02, 0.0, -0.02)","(-0.11, -9.34, 2.97)","(359.9375, -0.625, 72.3125)","(0.80718994140625, -0.59027099609375, 0.007080078125, 0.0003662109375)"
3.2,"(-0.07, -9.4, 2.95)","(7.5625, 25.0, -18.875)","(0.0, -0.001090830782496456, -0.004363323129985824)","(0.03, -0.01, -0.06)","(-0.11, -9.34, 2.97)","(359.9375, -0.625, 72.3125)","(0.80731201171875, -0.590087890625, 0.007080078125, 0.00042724609375)"
4.15,"(-0.09, -9.24, 4.32)","(15.25, 25.375, -27.0)","(-0.001090830782496456, -0.003272492347489368, 0.001090830782496456)","(0.03, 0.11, 0.0)","(-0.11, -9.32, 3.02)","(359.875, -0.625, 72.0)","(0.8089599609375, -0.58782958984375, 0.00689697265625, 0.00048828125)"
5.15,"(-0.07, -9.35, 3.0)","(6.875, 24.6875, -18.5)","(-0.002181661564992912, 0.14180800172453928, -0.1407171709420428)","(0.02, -0.02, 1.28)","(-0.11, -8.040000000000001, 4.3)","(359.875, -0.625, 72.0)","(0.8089599609375, -0.58782958984375, -1.98529052734375, 0.00048828125)"
6.15,"(-0.05, -9.370000000000001, 2.97)","(7.25, 25.375, -18.875)","(0.001090830782496456, 0.001090830782496456, 0.001090830782496456)","(0.04, -0.02, -0.01)","(-0.11, -8.040000000000001, 4.3)","(359.875, -8.625, 72.0)","(0.8089599609375, -0.58782958984375, -1.98529052734375, 0.00048828125)"
7.2,"(-0.08, -9.32, 3.02)","(7.25, 25.0, -19.25)","(0.003272492347489368, 0.001090830782496456, -0.001090830782496456)","(0.04, -0.02, -0.02)","(-0.11, -9.32, 3.02)","(359.875, -0.625, 72.0)","(0.8089599609375, -0.58782958984375, 0.00689697265625, 0.00048828125)"
8.2,"(-0.1, -9.290000000000001, 2.98)","(6.1875, 25.75, -18.5)","(0.0, 0.003272492347489368, 0.003272492347489368)","(0.08, -1.34, -0.01)","(-0.11, -9.32, 3.02)","(359.875, -0.625, 72.0)","(0.8089599609375, -0.58782958984375, 0.00689697265625, 0.00048828125)"
9.19,"(-0.2, -8.6, 2.98)","(7.25, 25.0, -19.25)","(-0.011999138607461015, 0.0, -0.001090830782496456)","(1.4000000000000001, -0.02, 0.0)","(-0.11, -9.32, 3.0300000000000002)","(367.9375, -0.625, 72.0)","(0.80902099609375, -0.5877685546875, 0.00689697265625, 0.00042724609375)"
10.2,"(-0.2, -9.19, 2.91)","(6.1875, 25.75, -17.0)","(0.006544984694978736, 0.0, 0.001090830782496456)","(-0.01, 0.04, -0.05)","(-0.11, -9.32, 3.02)","(359.9375, -0.625, 72.0)","(0.80877685546875, -0.58807373046875, 0.0068359375, 0.00030517578125)"
